Segment,Threshold_1_Length,Threshold_10_Length,Threshold_100_Length,Split_10_Length,Split_100_Length,Split_1000_Length,Handle_Lengths,Quadrangle_Length,Handle_Area,Quadrangle_Area,,% Difference between Threshold_1 and Handle_Lengths
400_1800__1200_1400,1795.607522,1795.573903,1788.05674,1789.610629,1768.716009,1792.924124,1894.427191,2788.854382,400000,720000,,0.94783665
1800_1400__2600_1800,1795.607522,1795.573903,1788.05674,1789.610629,1766.084993,1792.612802,1894.427191,2788.854382,400000,720000,,0.94783665
0_1400__1400_1200,1796.117321,1795.959032,1789.449106,1786.458961,1776.839071,1794.219065,1709.488493,3123.702056,260000,540000,,0.951768837
1600_1200__3000_1400,1796.117321,1795.959032,1789.449106,1786.458961,1764.458358,1792.894956,1709.488493,3123.702056,260000,540000,,0.951768837
0_1200__2600_1400,1796.174808,1795.920843,1772.057576,1770.749858,1775.190693,1794.019885,1740.914158,4348.59512,220000,740000,,0.969234258
400_1400__3000_1200,1796.174808,1795.920843,1772.057576,1770.749858,1766.392463,1793.125411,1740.914158,4348.59512,220000,740000,,0.969234258
200_1800__2400_1200,1797.035802,1796.937953,1777.280111,1776.434026,1784.047306,1795.699541,1578.584445,3858.935296,360000,1680000,,0.878437949
600_1200__2800_1800,1797.035802,1796.937953,1777.280111,1776.434026,1763.81723,1793.649968,1578.584445,3858.935296,360000,1680000,,0.878437949
800_2000__1200_1600,1797.098865,1797.072421,1795.288428,1792.210886,1767.183318,1794.100067,2019.803903,2585.489328,340000,500000,,0.889739277
1800_1600__2200_2000,1797.098865,1797.072421,1795.288428,1792.210886,1766.902112,1794.043804,2019.803903,2585.489328,340000,500000,,0.889739277
200_1800__2600_1000,1797.10125,1796.825528,1788.450625,1777.586506,1779.761226,1795.311145,1731.37085,4261.192978,320000,2240000,,0.963424209
400_1000__2800_1800,1797.10125,1796.825528,1788.450625,1777.586506,1763.938382,1793.718215,1731.37085,4261.192978,320000,2240000,,0.963424209
0_1200__2800_1200,1797.772087,1797.279723,1775.270631,1764.491767,1773.83029,1795.31259,1844.425028,4644.425028,180000,180000,,0.974705971
200_1200__3000_1200,1797.772087,1797.279723,1775.270631,1764.491767,1768.04246,1794.727715,1844.425028,4644.425028,180000,180000,,0.974705971
200_1200__2200_1800,1797.981697,1797.919622,1793.632882,1779.759619,1773.624301,1795.512513,1649.24225,3737.303552,160000,1360000,,0.917274215
800_1800__2800_1200,1797.981697,1797.919622,1793.632882,1779.759619,1773.844926,1795.514698,1649.24225,3737.303552,160000,1360000,,0.917274215
600_2000__2200_1400,1798.28993,1798.262664,1794.921874,1785.412894,1784.92368,1796.949155,1524.246557,3233.047306,240000,1200000,,0.847608904
800_1400__2400_2000,1798.28993,1798.262664,1794.921874,1785.412894,1766.514205,1795.064508,1524.246557,3233.047306,240000,1200000,,0.847608904
200_1200__1600_1800,1798.571381,1798.526728,1795.265331,1786.939224,1771.859706,1795.889865,1719.048316,3242.202937,240000,1080000,,0.955785427
1400_1800__2800_1200,1798.571381,1798.526728,1795.265331,1786.939224,1774.323388,1796.10298,1719.048316,3242.202937,240000,1080000,,0.955785427
200_1000__1000_1600,1798.710415,1798.630576,1791.710379,1790.459935,1763.878701,1795.213957,1966.190379,2966.190379,300000,780000,,0.914820067
2000_1600__2800_1000,1798.710415,1798.630576,1791.710379,1790.459935,1775.106488,1796.314961,1966.190379,2966.190379,300000,780000,,0.914820067
