Segment,Handles_or_Base_Length,Control_Polygon_Perimeter_Average,Perimeter_Average_Error,Threshold_1_Length
1500_1000__1000_0,1914.213562,2016.123776,2032.247551,1409.243993
1500_1000__1000_2000,1914.213562,2016.123776,2032.247551,1409.243993
2000_0__1500_1000,1914.213562,2016.123776,2032.247551,1409.243993
2000_2000__1500_1000,1914.213562,2016.123776,2032.247551,1409.243993
500_500__2000_1500,1207.106781,2004.941209,2009.882419,1412.148177
500_1500__2000_500,1207.106781,2004.941209,2009.882419,1412.148177
1000_500__2500_1500,1207.106781,2004.941209,2009.882419,1412.148177
1000_1500__2500_500,1207.106781,2004.941209,2009.882419,1412.148177
500_500__1500_1000,1207.106781,1662.570385,1325.14077,1414.83225
500_1500__1500_1000,1207.106781,1662.570385,1325.14077,1414.83225
1500_1000__2500_500,1207.106781,1662.570385,1325.14077,1414.83225
1500_1000__2500_1500,1207.106781,1662.570385,1325.14077,1414.83225
1500_0__1500_1500,1825.14077,2162.570385,2325.14077,1414.839402
1500_500__1500_2000,1825.14077,2162.570385,2325.14077,1414.839402
1500_1500__1500_0,1825.14077,2162.570385,2325.14077,1414.839402
1500_2000__1500_500,1825.14077,2162.570385,2325.14077,1414.839402
1000_500__1500_2000,1618.033989,2099.586409,2199.172819,1428.542068
1000_1500__1500_0,1618.033989,2099.586409,2199.172819,1428.542068
1500_0__2000_1500,1618.033989,2099.586409,2199.172819,1428.542068
1500_2000__2000_500,1618.033989,2099.586409,2199.172819,1428.542068
500_500__1500_1500,1414.213562,1914.213562,1828.427125,1435.672171
500_1500__1500_500,1414.213562,1914.213562,1828.427125,1435.672171
1500_500__2500_1500,1414.213562,1914.213562,1828.427125,1435.672171
1500_1500__2500_500,1414.213562,1914.213562,1828.427125,1435.672171
1500_500__1000_2000,2121.320344,2351.229587,2702.459174,1439.07517
1500_1500__1000_0,2121.320344,2351.229587,2702.459174,1439.07517
2000_0__1500_1500,2121.320344,2351.229587,2702.459174,1439.07517
2000_2000__1500_500,2121.320344,2351.229587,2702.459174,1439.07517
1000_1000__1000_0,1414.213562,1707.106781,1414.213562,1443.321414
1000_1000__1000_2000,1414.213562,1707.106781,1414.213562,1443.321414
2000_0__2000_1000,1414.213562,1707.106781,1414.213562,1443.321414
2000_2000__2000_1000,1414.213562,1707.106781,1414.213562,1443.321414
2000_500__500_500,2699.172819,2599.586409,3199.172819,1444.155238
2000_1500__500_1500,2699.172819,2599.586409,3199.172819,1444.155238
2500_500__1000_500,2699.172819,2599.586409,3199.172819,1444.155238
2500_1500__1000_1500,2699.172819,2599.586409,3199.172819,1444.155238
1500_0__1000_1000,2118.033989,2118.033989,2236.067977,1445.690958
1500_2000__1000_1000,2118.033989,2118.033989,2236.067977,1445.690958
2000_1000__1500_0,2118.033989,2118.033989,2236.067977,1445.690958
2000_1000__1500_2000,2118.033989,2118.033989,2236.067977,1445.690958
1000_500__500_1500,2081.13883,2099.586409,2199.172819,1449.542229
1000_1500__500_500,2081.13883,2099.586409,2199.172819,1449.542229
2500_500__2000_1500,2081.13883,2099.586409,2199.172819,1449.542229
2500_1500__2000_500,2081.13883,2099.586409,2199.172819,1449.542229
2000_0__1000_1000,2414.213562,2414.213562,2828.427125,1458.339885
2000_1000__1000_0,2414.213562,2414.213562,2828.427125,1458.339885
2000_1000__1000_2000,2414.213562,2414.213562,2828.427125,1458.339885
2000_2000__1000_1000,2414.213562,2414.213562,2828.427125,1458.339885
1000_0__2000_1000,1000,1707.106781,1414.213562,1458.408208
1000_1000__2000_0,1000,1707.106781,1414.213562,1458.408208
1000_1000__2000_2000,1000,1707.106781,1414.213562,1458.408208
1000_2000__2000_1000,1000,1707.106781,1414.213562,1458.408208
2000_1000__0_1000,3000,3000,4000,1461.006165
3000_1000__1000_1000,3000,3000,4000,1461.006165
1000_500__1000_2000,1914.213562,2207.106781,2414.213562,1470.867426
1000_1500__1000_0,1914.213562,2207.106781,2414.213562,1470.867426
2000_0__2000_1500,1914.213562,2207.106781,2414.213562,1470.867426
2000_2000__2000_500,1914.213562,2207.106781,2414.213562,1470.867426
1500_0__1000_1500,2236.067977,2408.603404,2817.206808,1472.993281
1500_2000__1000_500,2236.067977,2408.603404,2817.206808,1472.993281
2000_500__1500_2000,2236.067977,2408.603404,2817.206808,1472.993281
2000_1500__1500_0,2236.067977,2408.603404,2817.206808,1472.993281
1000_0__2000_1500,1500,2151.387819,2302.775638,1478.150679
1000_500__2000_2000,1500,2151.387819,2302.775638,1478.150679
1000_1500__2000_0,1500,2151.387819,2302.775638,1478.150679
1000_2000__2000_500,1500,2151.387819,2302.775638,1478.150679
500_500__2500_1000,1207.106781,2134.329797,2268.659594,1479.291484
500_1000__2500_500,1207.106781,2134.329797,2268.659594,1479.291484
500_1000__2500_1500,1207.106781,2134.329797,2268.659594,1479.291484
500_1500__2500_1000,1207.106781,2134.329797,2268.659594,1479.291484
1000_0__1500_1500,1707.106781,2144.122806,2288.245611,1482.756265
1000_2000__1500_500,1707.106781,2144.122806,2288.245611,1482.756265
1500_500__2000_2000,1707.106781,2144.122806,2288.245611,1482.756265
1500_1500__2000_0,1707.106781,2144.122806,2288.245611,1482.756265
1000_0__1500_1000,1500,1809.016994,1618.033989,1484.132381
1000_2000__1500_1000,1500,1809.016994,1618.033989,1484.132381
1500_1000__2000_0,1500,1809.016994,1618.033989,1484.132381
1500_1000__2000_2000,1500,1809.016994,1618.033989,1484.132381
1500_1000__0_500,2561.552813,2571.345821,3142.691643,1488.006632
